Draw Date	Winning Numbers	Multiplier
3/31/21	03 10 44 55 68 24	2
4/3/21	01 12 17 39 53 05	2
4/7/21	27 35 39 51 66 16	5
4/10/21	14 16 23 50 53 03	3
4/14/21	13 30 33 45 61 14	2
4/17/21	10 21 26 41 49 25	2
4/21/21	21 25 32 63 67 06	2
4/24/21	22 36 48 59 61 22	3
9/23/20	08 17 49 52 59 01	2
9/19/20	11 14 23 47 57 14	4
9/16/20	10 17 31 51 53 01	2
9/12/20	16 17 20 53 67 04	2
9/9/20	27 52 55 60 64 21	3
9/5/20	15 21 22 27 47 07	2
9/2/20	01 04 11 20 69 18	2
8/29/20	05 21 22 29 43 10	2
8/26/20	08 12 19 47 58 02	2
8/22/20	19 30 36 42 66 14	3
8/19/20	13 23 47 55 58 23	10
8/15/20	05 12 34 45 56 03	3
8/12/20	02 06 18 36 37 21	2
8/8/20	02 03 14 40 51 24	3
8/5/20	07 14 17 57 65 24	5
8/1/20	06 25 36 43 48 24	3
7/29/20	07 29 35 40 45 26	2
7/25/20	05 21 36 61 62 18	2
7/22/20	16 25 36 44 55 14	3
7/18/20	13 16 32 58 59 09	2
7/15/20	27 47 61 62 69 04	10
7/11/20	14 19 61 62 64 04	2
7/8/20	03 10 34 36 62 05	10
7/4/20	16 21 27 60 61 06	2
7/1/20	15 28 52 53 63 18	4
6/27/20	09 36 49 56 62 08	2
6/24/20	15 22 27 33 46 23	3
6/20/20	10 31 41 63 67 05	3
6/17/20	07 10 63 64 68 10	3
6/13/20	02 12 32 50 65 05	3
6/10/20	10 33 41 52 54 18	5
6/6/20	01 17 38 68 69 18	2
6/3/20	01 03 26 41 64 17	2
5/30/20	13 32 41 58 60 14	2
5/27/20	38 58 59 64 68 21	3
5/23/20	02 08 18 21 23 16	4
5/20/20	18 34 40 42 50 09	2
5/16/20	08 12 26 39 42 11	2
5/13/20	39 53 54 56 57 20	3
5/9/20	12 18 42 48 65 19	5
5/6/20	07 08 35 50 65 20	4
5/2/20	13 16 33 58 68 24	5
4/29/20	02 20 49 61 67 20	2
4/25/20	01 03 21 47 57 18	2
4/22/20	01 33 35 40 69 24	5
4/18/20	04 44 46 56 63 19	2
4/15/20	10 12 33 36 41 02	3
4/11/20	22 29 30 42 47 17	3
4/8/20	02 37 39 48 54 05	3
4/4/20	08 31 39 40 43 04	3
4/1/20	33 35 45 48 60 16	2
3/28/20	07 40 48 55 66 11	2
3/25/20	05 09 27 39 42 16	2
3/21/20	02 23 40 59 69 13	2
3/18/20	15 27 44 59 63 08	4
3/14/20	09 23 26 30 32 08	3
3/11/20	04 29 49 50 67 02	4
3/7/20	07 15 21 33 62 23	2
3/4/20	18 43 58 60 68 14	2
2/29/20	24 44 46 50 51 13	3
2/26/20	08 27 29 36 47 24	3
2/22/20	25 37 39 61 62 11	3
2/19/20	10 12 15 19 56 19	2
2/15/20	16 32 35 36 46 03	3
2/12/20	14 47 54 55 68 25	2
2/8/20	35 49 50 59 66 06	2
2/5/20	23 30 35 41 57 02	3
2/1/20	12 33 54 57 60 13	4
1/29/20	09 12 15 31 60 02	2
1/25/20	02 09 17 36 67 18	2
1/22/20	11 33 44 59 67 08	3
1/18/20	20 24 38 56 68 18	2
1/15/20	39 41 53 55 68 19	2
1/11/20	03 21 23 31 59 03	2
1/8/20	02 04 07 43 56 22	4
1/4/20	01 11 21 25 54 07	2
1/1/20	49 53 57 59 62 26	2
12/28/19	20 23 39 59 60 18	2
12/25/19	02 04 16 30 46 20	2
12/21/19	19 31 35 50 67 14	2
12/18/19	14 18 26 39 68 09	2
12/14/19	03 06 12 32 64 19	3
12/11/19	24 29 42 44 63 10	4
12/7/19	18 42 53 62 66 25	3
12/4/19	08 27 44 51 61 14	3
11/30/19	15 35 42 63 68 18	4
11/27/19	15 26 37 53 55 21	2
11/23/19	28 35 38 61 66 23	3
11/20/19	07 15 39 40 57 12	2
11/16/19	14 22 26 55 63 26	3
11/13/19	23 26 27 28 66 11	2
11/9/19	14 17 35 38 60 25	2
11/6/19	15 28 46 62 64 17	3
11/2/19	03 23 32 37 58 22	2
10/30/19	19 22 52 56 67 21	2
10/26/19	03 20 48 54 59 04	4
10/23/19	05 12 50 61 69 23	2
10/19/19	14 27 29 59 65 12	2
10/16/19	01 05 25 63 67 03	2
10/12/19	12 29 34 53 65 23	2
10/9/19	05 18 33 43 65 02	2
10/5/19	06 14 36 51 54 04	2
10/2/19	04 08 10 43 53 07	2
9/28/19	15 23 34 51 55 04	2
9/25/19	37 43 44 45 53 25	3
9/21/19	01 09 22 36 68 22	2
9/18/19	14 19 39 47 51 15	3
9/14/19	11 27 31 36 67 11	2
9/11/19	06 17 24 53 57 03	3
9/7/19	11 20 41 42 56 06	2
9/4/19	04 08 30 52 59 02	10
8/31/19	14 41 50 56 57 18	5
8/28/19	09 32 37 41 56 14	10
8/24/19	05 12 20 21 47 01	2
8/21/19	12 21 22 29 32 21	2
8/17/19	18 21 24 30 60 20	3
8/14/19	10 13 30 51 69 10	2
8/10/19	35 41 44 58 59 03	3
8/7/19	08 32 47 53 59 03	3
8/3/19	03 06 45 66 68 13	2
7/31/19	14 37 47 55 67 06	2
7/27/19	01 19 31 48 61 06	2
7/24/19	22 29 35 53 56 13	2
7/20/19	05 26 36 64 69 19	3
7/17/19	19 43 47 60 68 10	2
7/13/19	13 23 32 35 68 21	3
7/10/19	07 09 26 44 68 03	3
7/6/19	04 08 23 46 65 01	2
7/3/19	40 43 45 50 61 25	3
6/29/19	13 17 24 59 62 08	2
6/26/19	01 05 16 22 54 24	3
6/22/19	03 06 11 14 66 21	2
6/19/19	04 18 21 26 38 01	3
6/15/19	08 11 14 16 49 14	3
6/12/19	05 35 38 42 57 13	2
6/8/19	09 13 42 48 60 18	2
6/5/19	17 23 28 34 38 08	3
6/1/19	06 15 34 45 52 08	2
5/29/19	03 32 34 42 61 07	2
5/25/19	01 02 39 43 66 02	3
5/22/19	07 10 20 44 57 03	2
5/18/19	02 10 25 66 67 26	4
5/15/19	07 17 33 61 68 04	2
5/11/19	06 08 09 37 40 26	2
5/8/19	01 45 53 64 66 03	3
5/4/19	06 16 23 30 61 02	2
5/1/19	05 23 28 56 66 17	5
4/27/19	02 29 41 45 62 06	3
4/24/19	06 32 35 36 65 04	5
4/20/19	03 27 30 63 65 01	3
4/17/19	01 15 17 46 66 15	3
4/13/19	04 17 26 32 49 10	2
4/10/19	12 21 23 39 67 06	4
4/6/19	15 33 43 59 60 08	3
4/3/19	16 19 25 32 49 18	2
3/30/19	21 52 54 64 68 04	3
3/27/19	16 20 37 44 62 12	3
3/23/19	24 25 52 60 66 05	3
3/20/19	10 14 50 53 63 21	2
3/16/19	30 34 39 53 67 11	2
3/13/19	18 36 45 47 69 14	3
3/9/19	05 06 45 55 59 14	3
3/6/19	06 10 21 35 46 23	2
3/2/19	01 19 25 27 68 21	2
2/27/19	21 31 42 49 59 23	5
2/23/19	04 06 14 20 32 13	2
2/20/19	27 49 50 51 52 02	2
2/16/19	29 30 41 48 64 01	4
2/13/19	02 08 14 24 69 26	2
2/9/19	01 02 03 07 39 25	3
2/6/19	05 13 28 38 63 21	5
2/2/19	10 17 18 43 65 13	5
1/30/19	02 12 16 29 54 06	2
1/26/19	08 12 20 21 32 10	4
1/23/19	23 25 47 48 50 24	3
1/19/19	05 08 41 65 66 20	3
1/16/19	14 29 31 56 61 01	2
1/12/19	07 36 48 57 58 24	2
1/9/19	06 19 37 49 59 22	3
1/5/19	03 07 15 27 69 19	2
1/2/19	08 12 42 46 56 12	2
12/29/18	12 42 51 53 62 25	2
12/26/18	05 25 38 52 67 24	2
12/22/18	21 28 30 40 59 26	3
12/19/18	15 29 31 37 43 16	2
12/15/18	08 38 43 52 55 17	3
12/12/18	04 09 21 29 64 26	2
12/8/18	14 32 34 46 61 10	2
12/5/18	09 11 36 37 38 11	5
12/1/18	10 11 47 55 58 26	2
11/28/18	04 19 59 68 69 21	2
11/24/18	11 33 51 56 58 18	2
11/21/18	07 14 23 38 55 18	2
11/17/18	06 08 20 52 68 05	2
11/14/18	07 42 49 62 69 23	5
11/10/18	05 29 34 53 57 24	2
11/7/18	26 28 34 42 50 25	2
11/3/18	15 21 24 32 65 11	3
10/31/18	07 25 39 40 47 20	3
10/27/18	08 12 13 19 27 04	3
10/24/18	03 21 45 53 56 22	2
10/20/18	16 54 57 62 69 23	2
10/17/18	03 57 64 68 69 15	3
10/13/18	11 14 32 43 65 15	3
10/10/18	08 23 27 42 60 07	3
10/6/18	01 22 27 53 67 15	3
10/3/18	41 53 59 63 66 03	3
9/29/18	09 17 34 59 64 22	2
9/26/18	01 02 07 30 50 08	5
9/22/18	24 61 63 64 69 18	5
9/19/18	04 39 48 50 51 11	3
9/15/18	02 18 19 24 34 03	3
9/12/18	06 28 48 63 64 24	2
9/8/18	03 13 20 32 33 21	3
9/5/18	06 15 50 59 60 13	2
9/1/18	11 54 55 61 66 09	3
8/29/18	25 41 53 57 67 12	2
8/25/18	20 25 54 57 63 08	2
8/22/18	01 07 45 47 69 13	2
8/18/18	24 34 52 61 67 16	3
8/15/18	12 15 28 47 48 16	2
8/11/18	05 43 56 62 68 24	2
8/8/18	10 21 30 43 63 17	2
8/4/18	03 11 38 44 58 02	4
8/1/18	05 22 32 38 58 26	2
7/28/18	22 27 46 56 65 13	2
7/25/18	02 18 41 44 64 26	2
7/21/18	09 23 56 58 68 01	2
7/18/18	01 10 27 28 36 12	2
7/14/18	22 41 42 49 67 11	3
7/11/18	19 21 27 46 47 07	4
7/7/18	01 10 43 45 64 22	3
7/4/18	04 07 15 41 44 10	2
6/30/18	03 09 20 42 61 24	2
6/27/18	07 28 37 62 63 15	2
6/23/18	16 29 43 45 56 25	2
6/20/18	04 14 23 27 56 13	2
6/16/18	09 45 57 58 65 09	2
6/13/18	13 20 38 45 55 01	2
6/9/18	06 10 15 25 36 14	3
6/6/18	23 28 41 53 56 14	3
6/2/18	23 25 37 44 64 07	4
5/30/18	17 23 26 46 68 20	2
5/26/18	01 21 31 45 49 21	2
5/23/18	20 54 56 61 64 07	4
5/19/18	03 06 09 17 56 25	3
5/16/18	17 19 21 22 51 19	2
5/12/18	22 42 45 55 56 14	3
5/9/18	11 16 38 50 69 19	2
5/5/18	14 29 36 57 61 17	4
5/2/18	05 14 31 40 50 06	2
4/28/18	20 22 28 45 50 08	5
4/25/18	17 18 39 56 64 12	3
4/21/18	40 50 54 62 69 19	2
4/18/18	09 10 12 17 23 09	2
4/14/18	17 19 26 61 62 15	2
4/11/18	16 18 27 55 67 18	3
4/7/18	02 17 20 38 39 20	2
4/4/18	08 24 42 54 64 24	4
3/31/18	08 24 52 55 61 21	3
3/28/18	06 08 26 52 53 21	2
3/24/18	10 33 45 53 56 24	3
3/21/18	03 04 18 29 61 25	2
3/17/18	22 57 59 60 66 07	2
3/14/18	06 12 24 41 68 09	3
3/10/18	43 44 54 61 69 22	3
3/7/18	06 13 19 36 51 18	2
3/3/18	13 17 25 36 40 05	2
2/28/18	12 30 59 65 69 16	5
2/24/18	24 25 38 62 63 06	2
2/21/18	07 15 31 34 36 08	3
2/17/18	13 26 39 44 62 02	3
2/14/18	37 39 44 46 69 26	2
2/10/18	01 13 27 41 59 20	5
2/7/18	23 34 35 40 47 10	2
2/3/18	15 23 27 48 53 06	2
1/31/18	04 07 14 46 59 22	10
1/27/18	17 21 26 47 54 07	2
1/24/18	05 09 11 33 64 21	3
1/20/18	26 28 47 49 58 03	4
1/17/18	03 33 37 51 57 21	2
1/13/18	14 25 35 58 69 24	2
1/10/18	07 24 33 49 50 04	5
1/6/18	12 61 30 29 33 26	3
1/3/18	02 18 37 39 42 12	3
12/30/17	28 36 41 51 58 24	2
12/27/17	03 09 16 56 60 03	3
12/23/17	01 03 13 15 44 25	2
12/20/17	01 20 61 64 69 20	2
12/16/17	09 35 37 50 63 11	2
12/13/17	02 24 28 51 58 07	3
12/9/17	25 36 37 55 60 06	5
12/6/17	19 20 50 55 62 09	2
12/2/17	28 30 32 36 58 06	3
11/29/17	24 26 28 59 63 16	3
11/25/17	08 13 27 53 54 04	2
11/22/17	35 37 46 51 61 13	2
11/18/17	17 28 31 32 39 26	3
11/15/17	23 32 44 48 50 25	2
11/11/17	04 06 16 30 56 18	2
11/8/17	12 14 20 21 34 22	2
11/4/17	12 14 26 48 51 13	3
11/1/17	03 06 19 26 44 01	2
10/28/17	27 35 38 57 66 10	2
10/25/17	18 22 29 54 57 08	3
10/21/17	14 41 42 45 69 04	2
10/18/17	30 49 54 66 69 08	2
10/14/17	32 37 56 66 69 11	3
10/11/17	01 03 13 19 69 23	2
10/7/17	10 49 61 63 65 07	2
10/4/17	22 23 62 63 66 24	2
9/30/17	08 12 25 41 64 15	3
9/27/17	08 10 21 23 25 22	3
9/23/17	24 45 55 56 57 19	2
9/20/17	39 48 53 67 68 26	3
9/16/17	17 18 24 25 31 24	2
9/13/17	17 24 35 57 63 19	3
9/9/17	06 20 29 57 59 22	2
9/6/17	08 14 32 58 67 17	3
9/2/17	06 21 41 52 62 26	2
8/30/17	19 28 43 67 69 07	2
8/26/17	07 15 32 38 66 15	2
8/23/17	06 07 16 23 26 04	4
8/19/17	17 19 39 43 68 13	4
8/16/17	09 15 43 60 64 04	3
8/12/17	20 24 26 35 49 19	2
8/9/17	12 30 36 47 62 09	4
8/5/17	11 21 28 33 45 11	2
8/2/17	01 16 54 63 69 18	3
7/29/17	01 28 40 45 48 12	2
7/26/17	07 19 21 42 69 12	2
7/22/17	05 32 44 53 60 09	3
7/19/17	50 51 59 61 63 04	5
7/15/17	09 40 63 64 66 17	2
7/12/17	01 02 18 23 61 09	2
7/8/17	08 10 29 40 59 26	2
7/5/17	04 09 16 54 68 21	2
7/1/17	19 42 45 48 53 16	3
6/28/17	29 37 46 53 68 08	2
6/24/17	10 22 32 36 58 10	4
6/21/17	14 46 61 65 68 13	2
6/17/17	10 13 32 53 62 21	2
6/14/17	05 22 43 57 63 24	2
6/7/17	05 21 57 66 69 13	3
6/3/17	03 09 21 41 54 25	4
5/31/17	04 33 39 46 60 06	2
5/27/17	05 10 28 55 67 09	3
5/24/17	28 32 33 38 62 15	2
5/20/17	05 22 45 47 54 03	2
5/17/17	04 11 39 45 48 09	3
5/13/17	17 20 32 63 68 19	5
5/10/17	29 31 46 56 62 08	2
5/6/17	11 21 31 41 59 21	3
5/3/17	17 18 49 59 66 09	2
4/29/17	22 23 24 45 62 05	2
4/26/17	01 15 18 26 51 26	4
4/22/17	21 39 41 48 63 06	3
4/19/17	01 19 37 40 52 15	3
4/15/17	05 22 26 45 61 13	3
4/12/17	08 14 61 63 68 24	2
4/8/17	23 36 51 53 60 15	2
4/5/17	08 20 46 53 54 13	2
4/1/17	09 32 36 44 65 01	3
3/29/17	08 15 31 36 62 11	3
3/25/17	18 31 32 45 48 16	4
3/22/17	02 09 27 29 42 09	2
3/18/17	13 25 44 54 67 05	3
3/15/17	16 30 41 48 53 16	3
3/11/17	01 26 41 50 57 11	2
3/8/17	23 33 42 46 59 04	2
3/4/17	02 18 19 22 63 19	3
3/1/17	10 16 40 52 55 17	10
2/25/17	06 32 47 62 65 19	2
2/22/17	10 13 28 52 61 02	2
2/18/17	03 07 09 31 33 20	3
2/15/17	05 28 33 38 42 19	2
2/11/17	05 09 17 37 64 02	2
2/8/17	14 20 42 49 66 05	2
2/4/17	06 13 16 17 52 25	3
2/1/17	09 43 57 60 64 10	2
1/28/17	12 20 39 49 69 17	2
1/25/17	18 28 62 66 68 22	2
1/21/17	23 25 45 52 67 02	2
1/18/17	09 40 41 53 58 12	2
1/14/17	23 55 59 64 69 13	5
1/11/17	01 03 13 16 43 24	2
1/7/17	03 12 24 37 63 10	2
1/4/17	16 17 29 41 42 04	3
12/31/16	01 03 28 57 67 09	2
12/28/16	16 23 30 44 58 04	2
12/24/16	28 38 42 51 52 21	2
12/21/16	25 33 40 54 68 03	5
12/17/16	01 08 16 40 48 10	2
12/14/16	18 26 37 39 66 15	3
12/10/16	12 21 32 44 66 15	2
12/7/16	41 48 49 53 64 20	2
12/3/16	08 10 26 27 33 22	2
11/30/16	03 14 18 25 45 07	2
11/26/16	17 19 21 37 44 16	2
11/23/16	07 32 41 47 61 03	2
11/19/16	16 24 28 43 61 21	2
11/16/16	28 41 61 63 65 07	2
11/12/16	08 17 20 27 52 24	2
11/9/16	01 25 28 31 54 02	2
11/5/16	21 31 50 51 69 08	3
11/2/16	13 18 37 54 61 05	2
10/29/16	19 20 21 42 48 23	3
10/26/16	02 03 16 48 56 24	2
10/22/16	01 28 33 55 56 22	2
10/19/16	10 16 38 43 63 23	2
10/15/16	23 49 57 64 67 20	2
10/12/16	16 30 34 37 44 16	2
10/8/16	03 54 61 64 68 09	2
10/5/16	08 18 27 29 60 15	2
10/1/16	02 12 50 61 64 01	2
9/28/16	30 38 52 53 62 01	3
9/24/16	07 15 20 29 41 22	2
9/21/16	01 28 63 67 69 17	4
9/17/16	09 19 51 55 62 14	4
9/14/16	10 11 23 28 31 14	2
9/10/16	03 17 49 55 68 08	2
9/7/16	22 23 29 33 55 21	2
9/3/16	07 39 50 59 67 25	3
8/31/16	05 10 24 56 61 12	2
8/27/16	04 32 48 49 63 20	2
8/24/16	09 11 25 64 65 16	3
8/20/16	03 06 21 60 68 24	2
8/17/16	33 44 49 50 52 08	3
8/13/16	38 44 60 64 69 06	2
8/10/16	23 56 61 64 67 12	5
8/6/16	20 33 36 47 52 12	3
8/3/16	09 11 27 66 67 02	3
7/30/16	11 17 21 23 32 05	2
7/27/16	10 47 50 65 68 24	2
7/23/16	05 07 23 35 39 11	2
7/20/16	06 25 35 58 66 05	2
7/16/16	11 17 40 50 62 26	2
7/13/16	03 15 29 54 57 10	3
7/9/16	10 28 32 61 64 12	3
7/6/16	02 24 31 57 66 18	3
7/2/16	10 34 39 59 63 04	2
6/29/16	23 29 37 60 64 06	2
6/25/16	03 27 36 56 69 25	2
6/22/16	14 40 42 43 52 17	3
6/18/16	02 23 41 53 63 11	2
6/15/16	04 22 24 31 33 10	2
6/11/16	20 27 36 41 58 07	2
6/8/16	12 25 37 60 69 20	3
6/4/16	16 20 22 43 64 17	2
6/1/16	23 30 33 40 69 12	5
5/28/16	06 33 34 58 59 12	2
5/25/16	11 24 41 59 64 15	3
5/21/16	05 07 09 23 32 26	4
5/18/16	23 25 39 54 67 11	3
5/14/16	13 27 47 64 65 09	3
5/11/16	20 32 52 66 69 23	3
5/7/16	05 25 26 44 66 09	2
5/4/16	30 47 57 66 69 03	3
4/30/16	03 12 16 32 34 14	3
4/27/16	02 25 33 39 64 17	2
4/23/16	19 35 46 59 62 13	5
4/20/16	12 25 30 52 62 08	3
4/16/16	03 18 25 32 51 03	2
4/13/16	30 33 35 38 64 22	3
4/9/16	14 22 23 41 61 09	3
4/6/16	04 28 49 60 65 25	2
4/2/16	09 28 30 40 61 03	2
3/30/16	24 44 53 55 63 19	2
3/26/16	11 23 42 52 68 06	3
3/23/16	05 08 15 22 49 25	3
3/19/16	11 23 43 54 60 03	3
3/16/16	10 12 13 46 50 21	3
3/12/16	11 28 50 57 62 23	2
3/9/16	14 23 32 34 68 03	3
3/5/16	03 27 34 59 69 19	2
3/2/16	12 13 44 52 62 06	2
2/27/16	10 11 21 22 53 18	3
2/24/16	21 31 64 65 67 05	3
2/20/16	11 12 15 16 54 25	5
2/17/16	07 17 27 29 40 25	2
2/13/16	07 15 18 19 36 20	2
2/10/16	02 03 40 50 62 05	2
2/6/16	04 13 31 36 52 08	3
2/3/16	26 28 31 60 67 23	3
1/30/16	05 12 16 31 43 18	4
1/27/16	03 12 40 52 67 21	2
1/23/16	22 32 34 40 69 19	4
1/20/16	05 39 44 47 69 24	5
1/16/16	03 51 52 61 64 06	2
1/13/16	04 08 19 27 34 10	2
1/9/16	16 19 32 34 57 13	3
1/6/16	02 11 47 62 63 17	3
1/2/16	05 06 15 29 42 10	2
12/30/15	12 36 38 54 61 22	3
12/26/15	27 40 44 59 65 20	2
12/23/15	16 38 55 63 67 25	4
12/19/15	28 30 41 59 68 10	2
12/16/15	09 10 32 42 55 06	2
12/12/15	02 14 19 30 62 22	2
12/9/15	07 10 16 46 56 01	2
12/5/15	13 27 33 47 68 13	2
12/2/15	14 18 19 32 64 09	2
11/28/15	02 06 47 66 67 02	3
11/25/15	16 29 53 58 69 21	2
11/21/15	37 47 50 52 57 21	3
11/18/15	17 40 41 46 69 06	2
11/14/15	14 22 37 45 66 05	3
11/11/15	04 26 32 55 64 18	3
11/7/15	07 16 25 50 53 15	2
11/4/15	02 12 17 20 65 17	4
10/31/15	09 20 25 47 68 07	2
10/28/15	04 54 56 62 63 10	2
10/24/15	20 31 56 60 64 02	3
10/21/15	30 32 42 56 57 11	4
10/17/15	48 49 57 62 69 19	3
10/14/15	15 20 29 31 40 01	2
10/10/15	12 27 29 43 68 01	2
10/7/15	18 30 40 48 52 09	3
10/3/15	06 26 33 44 46 04	2
9/30/15	21 39 40 55 59 17	3
9/26/15	23 31 42 50 57 05	3
9/23/15	08 29 41 51 58 05	2
9/19/15	12 17 26 43 48 24	2
9/16/15	05 07 24 31 39 07	3
9/12/15	02 03 13 16 35 27	3
9/9/15	44 45 47 50 51 08	2
9/5/15	10 16 18 29 45 19	2
9/2/15	17 22 30 46 56 16	3
8/29/15	18 21 25 28 29 16	2
8/26/15	02 22 32 45 56 12	5
8/22/15	04 12 14 21 55 07	4
8/19/15	06 08 43 48 50 07	2
8/15/15	03 13 17 42 52 24	4
8/12/15	08 13 29 38 52 28	2
8/8/15	09 34 48 52 54 15	4
8/5/15	09 11 14 16 42 19	2
8/1/15	07 13 24 49 57 15	3
7/29/15	04 22 27 28 52 35	3
7/25/15	27 29 34 41 44 02	3
7/22/15	12 31 43 44 57 11	2
7/18/15	06 37 39 45 55 33	3
7/15/15	13 16 34 45 50 11	2
7/11/15	11 39 46 52 54 03	2
7/8/15	04 15 25 27 30 18	3
7/4/15	03 06 14 18 24 21	3
7/1/15	07 24 26 31 41 25	2
6/27/15	18 28 35 46 49 27	5
6/24/15	03 05 10 22 32 07	4
6/20/15	09 10 16 20 57 15	2
6/17/15	20 21 22 41 54 07	3
6/13/15	29 41 48 52 54 29	2
6/10/15	31 32 48 49 53 25	2
6/6/15	08 13 18 27 43 15	4
6/3/15	06 08 13 37 40 11	2
5/30/15	08 09 25 56 57 22	2
5/27/15	08 15 34 53 59 23	2
5/23/15	09 15 17 31 43 16	4
5/20/15	01 12 28 35 44 25	3
5/16/15	24 29 38 48 52 32	2
5/13/15	01 25 29 31 47 07	3
5/9/15	04 15 17 35 58 17	3
5/6/15	23 24 27 39 41 30	5
5/2/15	02 06 11 30 31 33	3
4/29/15	01 26 34 38 51 06	3
4/25/15	21 33 35 38 45 12	2
4/22/15	10 14 25 39 53 18	2
4/18/15	13 22 23 29 31 17	3
4/15/15	01 16 21 29 40 30	3
4/11/15	01 12 32 42 58 12	2
4/8/15	01 19 45 46 58 29	2
4/4/15	33 39 40 41 54 28	3
4/1/15	02 30 33 39 44 01	3
3/28/15	02 04 06 12 38 17	3
3/25/15	07 19 23 50 54 14	2
3/21/15	11 16 30 38 42 07	4
3/18/15	14 25 30 33 47 08	2
3/14/15	08 14 39 46 47 18	2
3/11/15	11 24 31 40 44 27	2
3/7/15	34 36 38 42 50 33	4
3/4/15	08 12 15 35 50 32	2
2/28/15	11 17 25 28 46 12	2
2/25/15	17 19 21 32 39 08	3
2/21/15	10 14 18 34 51 26	2
2/18/15	01 09 29 32 49 22	2
2/14/15	01 24 44 45 51 28	2
2/11/15	11 13 25 39 54 19	3
2/7/15	05 10 21 34 58 33	5
2/4/15	24 36 51 52 56 22	2
1/31/15	05 11 16 26 50 34	2
1/28/15	12 24 35 36 49 01	5
1/24/15	16 19 20 29 33 10	2
1/21/15	11 12 15 28 57 23	4
1/17/15	15 16 23 27 36 09	2
1/14/15	02 04 10 41 53 22	5
1/10/15	02 09 19 28 29 19	5
1/7/15	14 15 47 49 59 10	2
1/3/15	04 18 43 46 55 25	3
12/31/14	17 27 37 40 53 35	2
12/27/14	07 10 11 14 36 15	2
12/24/14	11 12 46 47 50 22	4
12/20/14	14 15 19 31 56 05	5
12/17/14	22 31 38 47 48 15	3
12/13/14	05 13 28 43 55 33	3
12/10/14	34 44 48 54 55 10	2
12/6/14	12 15 22 43 49 14	2
12/3/14	25 30 32 46 54 26	3
11/29/14	13 24 30 42 48 27	2
11/26/14	16 17 22 46 54 35	5
11/22/14	23 49 53 54 57 35	2
11/19/14	06 36 38 48 51 17	2
11/15/14	13 16 33 35 51 28	2
11/12/14	37 39 51 52 55 11	3
11/8/14	09 19 33 38 54 15	3
11/5/14	02 11 19 21 42 34	3
11/1/14	01 03 13 25 38 17	2
10/29/14	25 28 48 57 59 16	3
10/25/14	06 10 51 54 57 12	2
10/22/14	29 30 40 42 50 16	2
10/18/14	20 26 27 36 54 19	2
10/15/14	05 07 19 27 28 20	2
10/11/14	10 19 37 38 39 28	2
10/8/14	05 16 31 46 50 18	3
10/4/14	13 18 24 25 33 31	2
10/1/14	01 04 18 20 45 07	2
9/27/14	02 11 35 52 54 13	3
9/24/14	07 14 21 24 41 26	4
9/20/14	22 23 30 37 39 16	4
9/17/14	18 25 36 48 50 23	2
9/13/14	01 06 16 37 53 27	3
9/10/14	02 14 39 40 43 13	5
9/6/14	09 29 31 43 50 18	2
9/3/14	02 16 43 45 51 35	3
8/30/14	05 28 31 52 59 27	2
8/27/14	17 24 26 45 46 19	3
8/23/14	28 32 35 36 52 31	3
8/20/14	04 08 21 38 40 03	2
8/16/14	07 08 17 48 59 09	2
